29;physical_entity;jew;dirty;;;dreckig;schmutzig;gryazniy;
29;physical_entity;coolant;dirty;;;;;;
29;physical_entity;personage;dirty;;;;;;
29;physical_entity;doormat;dirty;;;;;;
29;physical_entity;dupe;dirty;;;;;;
29;physical_entity;fighter;dirty;;;;;;
29;physical_entity;engineer;dirty;;;;;;
29;physical_entity;killer;dirty;;;;;;
29;physical_entity;collector;dirty;;;;;;
29;physical_entity;neighbor;dirty;;;;;;
29;physical_entity;lover;dirty;;;;;;
29;physical_entity;negro;dirty;;;;;;
29;physical_entity;jumper;dirty;;;;;;
29;physical_entity;warrior;dirty;;;;;;
29;physical_entity;abomination;;filthy;;;;;
29;physical_entity;sodom;;filthy;;;;;
29;physical_entity;slope;;;;;;gryazniy;
30;preserver;guide;dirty;;;;;;
30;preserver;sheriff;dirty;;;;;;
30;preserver;policeman;dirty;;;;;;
30;preserver;screw;dirty;;;;;;
31;magnitude_relation;distance;dirty;;;;;;
31;magnitude_relation;scud;dirty;;;;;;
32;vertebrate;snake;dirty;filthy;;;;;
32;vertebrate;poultry;dirty;;;;;;
32;vertebrate;sparrow;dirty;;;;;;
32;vertebrate;eel;dirty;;;;;;
32;vertebrate;vulture;;filthy;;;;;
32;vertebrate;serpent;;filthy;;;;;
33;rejection;frontier;dirty;;;;;;
33;rejection;wasteland;;;;;;gryazniy;
34;act;craft;dirty;filthy;messy;;schmutzig;gryazniy;
34;act;war;dirty;filthy;messy;;schmutzig;gryazniy;
34;act;story;dirty;filthy;messy;;schmutzig;gryazniy;
34;act;deal;dirty;filthy;messy;;;gryazniy;
34;act;experience;dirty;filthy;messy;;;;
34;act;battle;dirty;filthy;messy;;;;
34;act;conversation;dirty;filthy;messy;;;;
34;act;tale;dirty;filthy;messy;;;;
34;act;task;dirty;filthy;messy;;;;
34;act;art;dirty;filthy;messy;;;;
34;act;meaning;dirty;filthy;;;;gryazniy;
34;act;print;dirty;filthy;;;;gryazniy;
34;act;service;dirty;filthy;;;;gryazniy;
34;act;contact;dirty;filthy;;;;gryazniy;
34;act;attack;dirty;filthy;;;;gryazniy;
34;act;music;dirty;filthy;;;;;
34;act;humor;dirty;filthy;;;;;
34;act;stair;dirty;filthy;;;;;
34;act;sport;dirty;filthy;;;;;
34;act;washing;dirty;filthy;;;;;
34;act;wit;dirty;filthy;;;;;
34;act;fight;dirty;;messy;;schmutzig;gryazniy;
34;act;calculation;dirty;;messy;;;gryazniy;
34;act;publicity;dirty;;messy;;;;
34;act;course;dirty;;messy;;;;
34;act;compromise;dirty;;messy;;;;
34;act;code;dirty;;messy;;;;
34;act;exercise;dirty;;messy;;;;
34;act;information;dirty;;messy;;;;
34;act;fun;dirty;;messy;;;;
34;act;proceeding;dirty;;messy;;;;
34;act;application;dirty;;messy;;;;
34;act;project;dirty;;messy;;;;
34;act;topic;dirty;;messy;;;;
34;act;struggle;dirty;;messy;;;;
34;act;maneuver;dirty;;;;;gryazniy;
34;act;harness;dirty;;;;;;
34;act;beam;dirty;;;;;;
34;act;grocery;dirty;;;;;;
34;act;bust;dirty;;;;;;
34;act;mail;dirty;;;;;;
34;act;duty;dirty;;;;;;
34;act;shelf;dirty;;;;;;
34;act;recording;dirty;;;;;;
34;act;toil;dirty;;;;;;
34;act;processing;dirty;;;;;;
34;act;housework;dirty;;;;;;
34;act;engagement;dirty;;;;;;
34;act;input;dirty;;;;;;
34;act;protest;dirty;;;;;;
34;act;perch;dirty;;;;;;
34;act;warfare;dirty;;;;;;
34;act;pastime;dirty;;;;;;
34;act;order;;filthy;messy;;;gryazniy;
34;act;quest;;filthy;;;;;
34;act;intercourse;;filthy;;;;;
34;act;commerce;;filthy;;;;;
34;act;publication;;filthy;;;;;
34;act;pornography;;filthy;;;;;
34;act;motion;;filthy;;;;;
34;act;statement;;filthy;;;;;
34;act;eloquence;;filthy;;;;;
34;act;wilderness;;filthy;;;;;
34;act;idolatry;;filthy;;;;;
34;act;custom;;filthy;;;;;
34;act;paperwork;;;messy;;;;
34;act;chart;;;messy;;;;
34;act;phenomenon;;;messy;;;;
34;act;management;;;messy;;;;
34;act;debate;;;messy;;;;
34;act;interplay;;;messy;;;;
34;act;housekeeping;;;messy;;;;
34;act;trial;;;messy;;;;
34;act;saying;;;;;schmutzig;;
34;act;feud;;;;;;gryazniy;
34;act;cards;;;;;;gryazniy;
34;act;attacks;;;;;;gryazniy;
34;act;tail;;;;;;gryazniy;
34;act;subject;;;;;;gryazniy;
35;game;tennis;dirty;filthy;;;;;
35;game;basketball;dirty;;;;;;
35;game;golf;dirty;;;;;;
36;system_of_measurement;money;dirty;filthy;;;schmutzig;gryazniy;
36;system_of_measurement;index;dirty;;;;;;
36;system_of_measurement;currency;dirty;;;;;;
37;phenomenon;cloud;dirty;filthy;messy;;;gryazniy;
37;phenomenon;flood;dirty;filthy;;;schmutzig;;
37;phenomenon;deposit;dirty;filthy;;;;;
37;phenomenon;energy;dirty;;;;;;
37;phenomenon;electricity;;;;;schmutzig;;
38;dislike;violence;;;messy;;;;
38;dislike;provocation;;;;;;gryazniy;
39;commoner;muzhik;dirty;;;;;;
40;design;banner;dirty;;;;;gryazniy;
41;metallic_element;stoke;;;;;;gryazniy;
42;contestant;pitcher;dirty;;;;;;
42;contestant;tumbler;dirty;;;;;;
43;ball;foam;dirty;filthy;;;schmutzig;gryazniy;
43;ball;froth;dirty;filthy;;;;;
44;herb;cereal;dirty;;;;;;
45;excavation;moat;;filthy;;;;;
46;solid;quartz;dirty;;;;;;
46;solid;frost;;;;;;gryazniy;
46;solid;icicle;;;;;;gryazniy;
47;compound;slush;dirty;filthy;;;;;
